subject,class,chapter_order,chapter,concept,asset_slug,archetype_v2,v2_confidence,route,route_reason
chem,11,8,General Organic Chemistry,Quantitative Analysis and Determination of Empirical Formula,chem11-ch8-quantitative-analysis-and-determination-of-empirical-formula,UNVERIFIED_no_chunks,none,svg,archetype_v2=UNVERIFIED_no_chunks maps to no registry widget
chem,12,1,Solutions,Reverse Osmosis and Water Purification,chem12-ch1-reverse-osmosis-and-water-purification,apparatus,low,svg,archetype_v2=apparatus maps to no registry widget
chem,12,2,Electrochemistry,Batteries and Fuel Cells,chem12-ch2-batteries-and-fuel-cells,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
chem,12,2,Electrochemistry,Concentration Cells,chem12-ch2-concentration-cells,none_symbolic,med,svg,archetype_v2=none_symbolic maps to no registry widget
chem,12,2,Electrochemistry,Corrosion and Its Prevention,chem12-ch2-corrosion-and-its-prevention,apparatus,med,svg,archetype_v2=apparatus maps to no registry widget
chem,12,2,Electrochemistry,Galvanic Cells and Cell Representation,chem12-ch2-galvanic-cells-and-cell-representation,apparatus,med,svg,archetype_v2=apparatus maps to no registry widget
chem,12,2,Electrochemistry,Nernst Equation and Cell Potential Calculations,chem12-ch2-nernst-equation-and-cell-potential-calculations,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
chem,12,9,Amines,Preparation and Structure of Diazonium Salts,chem12-ch9-preparation-and-structure-of-diazonium-salts,reaction_scheme,med,svg,"archetype_v2=reaction_scheme but v2_confidence=med; med leans none, so author the schematic"
phy,11,1,Units & Measurements,Errors in Measurement,phy11-ch1-errors-in-measurement,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
phy,11,1,Units & Measurements,"Measurement of Length, Mass and Time",phy11-ch1-measurement-of-length--mass-and-time,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
phy,11,1,Units & Measurements,Propagation of Errors,phy11-ch1-propagation-of-errors,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
phy,11,1,Units & Measurements,Systems of Units and SI Units,phy11-ch1-systems-of-units-and-si-units,none_symbolic,high,svg,archetype_v2=none_symbolic maps to no registry widget
