asset_slug,concept_slug,sub,batch,subject,class_,chapter,concept,file,width,height,sha256,cleanup,note,ncert_labels,licence,source_url,author,status
bio11-ch5-stem--modifications-and-functions--b,bio11-ch5-stem--modifications-and-functions,b,3,bio,11,Morphology of Flowering Plants,Stem: Modifications and Functions,masters/bio11-ch5-stem--modifications-and-functions--b.png,896,560,7b529fafc8d2c3bb23893539474888281ab3bfae00fcd6ad223589464ed72c05,strip_labels,captions,"tuber, eye, rhizome, node, corm, bulb, runner, stolon, offset, sucker, phylloclade, thorn, tendril",generated-free,generated:gemini:batch3/bio11-ch5-stem--modifications-and-functions--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch5-stem--modifications-and-functions--c,bio11-ch5-stem--modifications-and-functions,c,3,bio,11,Morphology of Flowering Plants,Stem: Modifications and Functions,masters/bio11-ch5-stem--modifications-and-functions--c.png,896,560,7b77abef244d1093b3c9ab3dd3e750e20afd20146d5c817086853fbb0fa9af98,none,,"tuber, eye, rhizome, node, corm, bulb, runner, stolon, offset, sucker, phylloclade, thorn, tendril",generated-free,generated:gemini:batch3/bio11-ch5-stem--modifications-and-functions--c,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch5-fruit--types--pericarp-and-false-fruits--a,bio11-ch5-fruit--types--pericarp-and-false-fruits,a,3,bio,11,Morphology of Flowering Plants,"Fruit: Types, Pericarp and False Fruits",masters/bio11-ch5-fruit--types--pericarp-and-false-fruits--a.png,896,560,c9823bee10a4f8aa755d48096598126aa5cdb15f36f03f858d91a1a40af35583,none,,"epicarp, mesocarp, endocarp, seed, pericarp, fleshy thalamus, edible part",generated-free,generated:gemini:batch3/bio11-ch5-fruit--types--pericarp-and-false-fruits--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch5-fruit--types--pericarp-and-false-fruits--b,bio11-ch5-fruit--types--pericarp-and-false-fruits,b,3,bio,11,Morphology of Flowering Plants,"Fruit: Types, Pericarp and False Fruits",masters/bio11-ch5-fruit--types--pericarp-and-false-fruits--b.png,896,560,f6769fddf2ddb21854e3016e5bdda348b9bbee1ba3758b0fdd5a4775f5b206f4,none,,"epicarp, mesocarp, endocarp, seed, pericarp, fleshy thalamus, edible part",generated-free,generated:gemini:batch3/bio11-ch5-fruit--types--pericarp-and-false-fruits--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch5-fruit--types--pericarp-and-false-fruits--c,bio11-ch5-fruit--types--pericarp-and-false-fruits,c,3,bio,11,Morphology of Flowering Plants,"Fruit: Types, Pericarp and False Fruits",masters/bio11-ch5-fruit--types--pericarp-and-false-fruits--c.png,896,560,f353c9434c20ff009b35c6ca3d8f364d525c40ef59bf038de2e4199521cc2413,none,,"epicarp, mesocarp, endocarp, seed, pericarp, fleshy thalamus, edible part",generated-free,generated:gemini:batch3/bio11-ch5-fruit--types--pericarp-and-false-fruits--c,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch5-seed-structure-in-dicots-and-monocots--a,bio11-ch5-seed-structure-in-dicots-and-monocots,a,3,bio,11,Morphology of Flowering Plants,Seed Structure in Dicots and Monocots,masters/bio11-ch5-seed-structure-in-dicots-and-monocots--a.png,896,560,4a60153e26fc2a9464457121b4c6cccac9b9c8296598833f23cf4ad88654d561,none,,"seed coat, hilum, micropyle, cotyledon, plumule, radicle, embryonal axis, pericarp, aleurone layer, endosperm, scutellum, coleoptile, coleorhiza",generated-free,generated:gemini:batch3/bio11-ch5-seed-structure-in-dicots-and-monocots--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch5-seed-structure-in-dicots-and-monocots--b,bio11-ch5-seed-structure-in-dicots-and-monocots,b,3,bio,11,Morphology of Flowering Plants,Seed Structure in Dicots and Monocots,masters/bio11-ch5-seed-structure-in-dicots-and-monocots--b.png,896,560,39e9dd35cdafc2d542fa30ee4e72e56f95b67e6c4082f9d1c1e2b5d273e04af7,strip_labels,labelled,"seed coat, hilum, micropyle, cotyledon, plumule, radicle, embryonal axis, pericarp, aleurone layer, endosperm, scutellum, coleoptile, coleorhiza",generated-free,generated:gemini:batch3/bio11-ch5-seed-structure-in-dicots-and-monocots--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch6-simple-permanent-tissues--parenchyma--collenchyma-and-sclerenchyma--a,bio11-ch6-simple-permanent-tissues--parenchyma--collenchyma-and-sclerenchyma,a,3,biology,11,Anatomy of Flowering Plants,"Simple Permanent Tissues: Parenchyma, Collenchyma and Sclerenchyma",masters/bio11-ch6-simple-permanent-tissues--parenchyma--collenchyma-and-sclerenchyma--a.png,896,560,b914c223b141ff45edca6b23cfd92361e2d8d5e57d9ade69b8ba81c4b248db4d,none,"label list authored per sub-asset, not shared across the set","parenchyma, cell wall, intercellular space",generated-free,generated:gemini:batch3/bio11-ch6-simple-permanent-tissues--parenchyma--collenchyma-and-sclerenchyma--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch6-simple-permanent-tissues--parenchyma--collenchyma-and-sclerenchyma--c,bio11-ch6-simple-permanent-tissues--parenchyma--collenchyma-and-sclerenchyma,c,3,biology,11,Anatomy of Flowering Plants,"Simple Permanent Tissues: Parenchyma, Collenchyma and Sclerenchyma",masters/bio11-ch6-simple-permanent-tissues--parenchyma--collenchyma-and-sclerenchyma--c.png,896,560,8fe9b53b920875663dcec1828800c2cb0511768317bff6db366dc7eccc0c2f65,strip_labels,"titles + labels; label list authored per sub-asset, not shared across the set","sclerenchyma, fibre, sclereid, lignified wall, lumen, pit",generated-free,generated:gemini:batch3/bio11-ch6-simple-permanent-tissues--parenchyma--collenchyma-and-sclerenchyma--c,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch6-epidermal-tissue-system--epidermis--stomata-and-trichomes--b,bio11-ch6-epidermal-tissue-system--epidermis--stomata-and-trichomes,b,3,bio,11,Anatomy of Flowering Plants,"Epidermal Tissue System: Epidermis, Stomata and Trichomes",masters/bio11-ch6-epidermal-tissue-system--epidermis--stomata-and-trichomes--b.png,952,595,370ee3208757216dc1486b2700cdd76aa091bcec8a1b53620c9d2706cc16fbd5,none,,"guard cell, stomatal pore, subsidiary cell, epidermal cell, chloroplast, cuticle, dumbbell-shaped guard cell, root hair, trichome",generated-free,generated:gemini:batch3/bio11-ch6-epidermal-tissue-system--epidermis--stomata-and-trichomes--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch6-epidermal-tissue-system--epidermis--stomata-and-trichomes--c,bio11-ch6-epidermal-tissue-system--epidermis--stomata-and-trichomes,c,3,bio,11,Anatomy of Flowering Plants,"Epidermal Tissue System: Epidermis, Stomata and Trichomes",masters/bio11-ch6-epidermal-tissue-system--epidermis--stomata-and-trichomes--c.png,896,560,885e1aab1d224900e5c4139de645812abbfc2a07b6f9ce2ef95172ddf0d2fa86,none,,"guard cell, stomatal pore, subsidiary cell, epidermal cell, chloroplast, cuticle, dumbbell-shaped guard cell, root hair, trichome",generated-free,generated:gemini:batch3/bio11-ch6-epidermal-tissue-system--epidermis--stomata-and-trichomes--c,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch6-epidermal-tissue-system--epidermis--stomata-and-trichomes--d,bio11-ch6-epidermal-tissue-system--epidermis--stomata-and-trichomes,d,3,bio,11,Anatomy of Flowering Plants,"Epidermal Tissue System: Epidermis, Stomata and Trichomes",masters/bio11-ch6-epidermal-tissue-system--epidermis--stomata-and-trichomes--d.png,896,560,498426caacf3222fe6858282f490875651e64b9b32842698abd18fc7197861f9,none,,"guard cell, stomatal pore, subsidiary cell, epidermal cell, chloroplast, cuticle, dumbbell-shaped guard cell, root hair, trichome",generated-free,generated:gemini:batch3/bio11-ch6-epidermal-tissue-system--epidermis--stomata-and-trichomes--d,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch6-anatomy-of-dicot-and-monocot-root--a,bio11-ch6-anatomy-of-dicot-and-monocot-root,a,3,bio,11,Anatomy of Flowering Plants,Anatomy of Dicot and Monocot Root,masters/bio11-ch6-anatomy-of-dicot-and-monocot-root--a.png,896,560,1eec8a5de55ad74fdce27e1f0ddc7e9221971f4c765daf28e1e26361255cd72c,none,tetrarch redo,"epiblema, root hair, cortex, endodermis, Casparian strip, pericycle, xylem, phloem, conjunctive tissue, pith, protoxylem, metaxylem",generated-free,generated:gemini:batch3/bio11-ch6-anatomy-of-dicot-and-monocot-root--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch6-anatomy-of-dicot-and-monocot-root--b,bio11-ch6-anatomy-of-dicot-and-monocot-root,b,3,bio,11,Anatomy of Flowering Plants,Anatomy of Dicot and Monocot Root,masters/bio11-ch6-anatomy-of-dicot-and-monocot-root--b.png,896,560,5c9dbdd46c9d1e904a333a73160f9b7bc15c4bbcce61446ed0141c75307216ed,none,,"epiblema, root hair, cortex, endodermis, Casparian strip, pericycle, xylem, phloem, conjunctive tissue, pith, protoxylem, metaxylem",generated-free,generated:gemini:batch3/bio11-ch6-anatomy-of-dicot-and-monocot-root--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch6-anatomy-of-dicot-and-monocot-stem--a,bio11-ch6-anatomy-of-dicot-and-monocot-stem,a,3,bio,11,Anatomy of Flowering Plants,Anatomy of Dicot and Monocot Stem,masters/bio11-ch6-anatomy-of-dicot-and-monocot-stem--a.png,896,560,da34e8a9d85dea8a7401794ddeb5a4b948cda94435ef9a9e871b52c41f1ce63a,none,,"epidermis, cuticle, hypodermis, cortex, endodermis, pericycle, vascular bundle, xylem, phloem, cambium, pith, bundle sheath, ground tissue, medullary ray",generated-free,generated:gemini:batch3/bio11-ch6-anatomy-of-dicot-and-monocot-stem--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch6-anatomy-of-dicot-and-monocot-stem--b,bio11-ch6-anatomy-of-dicot-and-monocot-stem,b,3,bio,11,Anatomy of Flowering Plants,Anatomy of Dicot and Monocot Stem,masters/bio11-ch6-anatomy-of-dicot-and-monocot-stem--b.png,896,560,d5a83a36b2138cc86ab08ebac7937adf40c04eb24114f6dc990e0c0e44503dba,none,,"epidermis, cuticle, hypodermis, cortex, endodermis, pericycle, vascular bundle, xylem, phloem, cambium, pith, bundle sheath, ground tissue, medullary ray",generated-free,generated:gemini:batch3/bio11-ch6-anatomy-of-dicot-and-monocot-stem--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch6-anatomy-of-dorsiventral-and-isobilateral-leaf--a,bio11-ch6-anatomy-of-dorsiventral-and-isobilateral-leaf,a,4,bio,11,Anatomy of Flowering Plants,Anatomy of Dorsiventral and Isobilateral Leaf,masters/bio11-ch6-anatomy-of-dorsiventral-and-isobilateral-leaf--a.png,896,560,ab148da5f42718a59d397401e3b7b96379d3e20370075b673dcfddd253f498f5,none,,"upper epidermis, cuticle, palisade parenchyma, spongy parenchyma, lower epidermis, stoma, vascular bundle, bundle sheath, xylem, phloem, bulliform cell, mesophyll",generated-free,generated:gemini:batch4/bio11-ch6-anatomy-of-dorsiventral-and-isobilateral-leaf--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch6-anatomy-of-dorsiventral-and-isobilateral-leaf--b,bio11-ch6-anatomy-of-dorsiventral-and-isobilateral-leaf,b,4,bio,11,Anatomy of Flowering Plants,Anatomy of Dorsiventral and Isobilateral Leaf,masters/bio11-ch6-anatomy-of-dorsiventral-and-isobilateral-leaf--b.png,896,560,06ee1e0cea9a461994ea863af38a6c30e37845c951828efde88814479f747c66,none,,"upper epidermis, cuticle, palisade parenchyma, spongy parenchyma, lower epidermis, stoma, vascular bundle, bundle sheath, xylem, phloem, bulliform cell, mesophyll",generated-free,generated:gemini:batch4/bio11-ch6-anatomy-of-dorsiventral-and-isobilateral-leaf--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch2-fungal-structure--nutrition-and-modes-of-reproduction--a,bio11-ch2-fungal-structure--nutrition-and-modes-of-reproduction,a,4,bio,11,Biological Classification,"Fungal Structure, Nutrition and Modes of Reproduction",masters/bio11-ch2-fungal-structure--nutrition-and-modes-of-reproduction--a.png,896,560,ab42a992a8f0a6eb3afbffb8bd2f2d7bb00fdfd91d368550ecc1538758f4c77d,none,,"hypha, mycelium, septum, coenocytic hypha, sporangium, spore, sporangiophore, rhizoid, stolon",generated-free,generated:gemini:batch4/bio11-ch2-fungal-structure--nutrition-and-modes-of-reproduction--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch2-fungal-structure--nutrition-and-modes-of-reproduction--b,bio11-ch2-fungal-structure--nutrition-and-modes-of-reproduction,b,4,bio,11,Biological Classification,"Fungal Structure, Nutrition and Modes of Reproduction",masters/bio11-ch2-fungal-structure--nutrition-and-modes-of-reproduction--b.png,896,560,41449e648fd62a149ba62055e0952e64f965523a1a0e8fef873b7e8e9d0f25ec,strip_labels,captions,"hypha, mycelium, septum, coenocytic hypha, sporangium, spore, sporangiophore, rhizoid, stolon",generated-free,generated:gemini:batch4/bio11-ch2-fungal-structure--nutrition-and-modes-of-reproduction--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch3-algae--chlorophyceae--phaeophyceae-and-rhodophyceae--a,bio11-ch3-algae--chlorophyceae--phaeophyceae-and-rhodophyceae,a,4,bio,11,Plant Kingdom,"Algae: Chlorophyceae, Phaeophyceae and Rhodophyceae",masters/bio11-ch3-algae--chlorophyceae--phaeophyceae-and-rhodophyceae--a.png,896,560,e32844bb8f378768beb9d185662d3562f57f219d035c037f1b15b67be7d5b972,none,,"flagellum, cup-shaped chloroplast, pyrenoid, eyespot, nucleus, cell wall, colony, spiral chloroplast, holdfast, stipe, blade",generated-free,generated:gemini:batch4/bio11-ch3-algae--chlorophyceae--phaeophyceae-and-rhodophyceae--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch3-algae--chlorophyceae--phaeophyceae-and-rhodophyceae--c,bio11-ch3-algae--chlorophyceae--phaeophyceae-and-rhodophyceae,c,4,bio,11,Plant Kingdom,"Algae: Chlorophyceae, Phaeophyceae and Rhodophyceae",masters/bio11-ch3-algae--chlorophyceae--phaeophyceae-and-rhodophyceae--c.png,896,560,0160cf1539674d6aa50b26b88bdb1069e8d378a3154ce5e0d702fa6970a151a2,none,,"flagellum, cup-shaped chloroplast, pyrenoid, eyespot, nucleus, cell wall, colony, spiral chloroplast, holdfast, stipe, blade",generated-free,generated:gemini:batch4/bio11-ch3-algae--chlorophyceae--phaeophyceae-and-rhodophyceae--c,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch3-algae--chlorophyceae--phaeophyceae-and-rhodophyceae--d,bio11-ch3-algae--chlorophyceae--phaeophyceae-and-rhodophyceae,d,4,bio,11,Plant Kingdom,"Algae: Chlorophyceae, Phaeophyceae and Rhodophyceae",masters/bio11-ch3-algae--chlorophyceae--phaeophyceae-and-rhodophyceae--d.png,896,560,2c563bbdf4d19ca3b01587389fc6e2d33c070ad710e706a4336501dacaa2eb0f,none,,"flagellum, cup-shaped chloroplast, pyrenoid, eyespot, nucleus, cell wall, colony, spiral chloroplast, holdfast, stipe, blade",generated-free,generated:gemini:batch4/bio11-ch3-algae--chlorophyceae--phaeophyceae-and-rhodophyceae--d,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch3-bryophytes--liverworts-and-mosses--b,bio11-ch3-bryophytes--liverworts-and-mosses,b,4,bio,11,Plant Kingdom,Bryophytes: Liverworts and Mosses,masters/bio11-ch3-bryophytes--liverworts-and-mosses--b.png,896,560,f59293710f85d1bcbf9dd4b231d65103010563fb88d4cf13a9a1435e1e9299a2,none,,"thallus, gemma cup, rhizoid, antheridiophore, archegoniophore, leaf, stem, seta, capsule, operculum, peristome",generated-free,generated:gemini:batch4/bio11-ch3-bryophytes--liverworts-and-mosses--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch3-gymnosperms--characteristics--structure-and-examples--a,bio11-ch3-gymnosperms--characteristics--structure-and-examples,a,4,bio,11,Plant Kingdom,"Gymnosperms: Characteristics, Structure and Examples",masters/bio11-ch3-gymnosperms--characteristics--structure-and-examples--a.png,896,560,b623c3d649dcf110b994cfd0eb84b5b0460458813300478febbacf249a6aa2c5,none,,"needle, dwarf shoot, male cone, female cone, microsporophyll, megasporophyll, seed, wing, cone scale",generated-free,generated:gemini:batch4/bio11-ch3-gymnosperms--characteristics--structure-and-examples--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch3-gymnosperms--characteristics--structure-and-examples--b,bio11-ch3-gymnosperms--characteristics--structure-and-examples,b,4,bio,11,Plant Kingdom,"Gymnosperms: Characteristics, Structure and Examples",masters/bio11-ch3-gymnosperms--characteristics--structure-and-examples--b.png,896,560,e076f16e6a0e3e2f2e7db0ca9b02a05b5f3a523383d6b53b6fa2f2a3283b4d33,none,,"needle, dwarf shoot, male cone, female cone, microsporophyll, megasporophyll, seed, wing, cone scale",generated-free,generated:gemini:batch4/bio11-ch3-gymnosperms--characteristics--structure-and-examples--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch4-phylum-porifera,bio11-ch4-phylum-porifera,,4,bio,11,Animal Kingdom,Phylum Porifera,masters/bio11-ch4-phylum-porifera.png,896,560,ab26ee37c9e44146e703ee7ecf61cf8c39a9a0e0be2f3a572702a1bf6c403b7b,strip_labels,labelled; internal arrows kept,"osculum, ostium, spongocoel, choanocyte, spicule, body wall, water flow",generated-free,generated:gemini:batch4/bio11-ch4-phylum-porifera,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch4-phylum-coelenterata-and-ctenophora--a,bio11-ch4-phylum-coelenterata-and-ctenophora,a,4,bio,11,Animal Kingdom,Phylum Coelenterata and Ctenophora,masters/bio11-ch4-phylum-coelenterata-and-ctenophora--a.png,896,560,668c4728d7f24cb79771f3a8e5127e4ed180ee8ce9934d252f75d5fcf0da8bfb,none,,"tentacle, hypostome, mouth, basal disc, bud, gastrovascular cavity, cnidoblast, umbrella, comb plate",generated-free,generated:gemini:batch4/bio11-ch4-phylum-coelenterata-and-ctenophora--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch4-phylum-coelenterata-and-ctenophora--b,bio11-ch4-phylum-coelenterata-and-ctenophora,b,4,bio,11,Animal Kingdom,Phylum Coelenterata and Ctenophora,masters/bio11-ch4-phylum-coelenterata-and-ctenophora--b.png,896,560,bd41ba08d1ef9a19deff6c81d8b4db271e76130ae10af66a85665dd9cb4dd542,none,,"tentacle, hypostome, mouth, basal disc, bud, gastrovascular cavity, cnidoblast, umbrella, comb plate",generated-free,generated:gemini:batch4/bio11-ch4-phylum-coelenterata-and-ctenophora--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch4-phylum-coelenterata-and-ctenophora--c,bio11-ch4-phylum-coelenterata-and-ctenophora,c,4,bio,11,Animal Kingdom,Phylum Coelenterata and Ctenophora,masters/bio11-ch4-phylum-coelenterata-and-ctenophora--c.png,896,560,38838a076811dc91c1bd2ad9d288d6ed43d7f4c5211a3bab826e0a27090dce17,none,Gemini text-removal edit,"tentacle, hypostome, mouth, basal disc, bud, gastrovascular cavity, cnidoblast, umbrella, comb plate",generated-free,generated:gemini:batch4/bio11-ch4-phylum-coelenterata-and-ctenophora--c,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch4-phylum-coelenterata-and-ctenophora--d,bio11-ch4-phylum-coelenterata-and-ctenophora,d,4,bio,11,Animal Kingdom,Phylum Coelenterata and Ctenophora,masters/bio11-ch4-phylum-coelenterata-and-ctenophora--d.png,896,560,d811799b884604fb8a21140cad67458851252446c2bb1bcb14621a31f66c5cad,none,,"tentacle, hypostome, mouth, basal disc, bud, gastrovascular cavity, cnidoblast, umbrella, comb plate",generated-free,generated:gemini:batch4/bio11-ch4-phylum-coelenterata-and-ctenophora--d,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch4-phylum-platyhelminthes--a,bio11-ch4-phylum-platyhelminthes,a,4,bio,11,Animal Kingdom,Phylum Platyhelminthes,masters/bio11-ch4-phylum-platyhelminthes--a.png,896,560,0e429ee57c5ecf7b6e4f080a4384168971940ec4559124237f71a7c303710f1d,none,,"scolex, hook, sucker, neck, proglottid, mature proglottid, gravid proglottid",generated-free,generated:gemini:batch4/bio11-ch4-phylum-platyhelminthes--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch4-phylum-platyhelminthes--b,bio11-ch4-phylum-platyhelminthes,b,4,bio,11,Animal Kingdom,Phylum Platyhelminthes,masters/bio11-ch4-phylum-platyhelminthes--b.png,896,560,5c41a73937d85277fa13980a73a469349ec82b7eb10778c6f29a7fbadf92ab04,none,,"scolex, hook, sucker, neck, proglottid, mature proglottid, gravid proglottid",generated-free,generated:gemini:batch4/bio11-ch4-phylum-platyhelminthes--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch4-phylum-aschelminthes--nematoda,bio11-ch4-phylum-aschelminthes--nematoda,,4,bio,11,Animal Kingdom,Phylum Aschelminthes (Nematoda),masters/bio11-ch4-phylum-aschelminthes--nematoda.png,896,560,24b14387f4786dad5c86bcd950656352b9cfef6f164a630b674c138fa6df2ebe,none,,"mouth, lip, female, male, curved tail, anus, cloacal aperture, pre-anal papilla",generated-free,generated:gemini:batch4/bio11-ch4-phylum-aschelminthes--nematoda,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch4-phylum-annelida--a,bio11-ch4-phylum-annelida,a,5,bio,11,Animal Kingdom,Phylum Annelida,masters/bio11-ch4-phylum-annelida--a.png,896,560,daa93abcb71f380d65e0c8aa4e00b7efb4a09ed27923d5f07dfe7edd76521f6d,none,Nereis,"prostomium, segment, parapodium, clitellum, seta, anus",generated-free,generated:gemini:batch5/bio11-ch4-phylum-annelida--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch4-phylum-annelida--b,bio11-ch4-phylum-annelida,b,5,bio,11,Animal Kingdom,Phylum Annelida,masters/bio11-ch4-phylum-annelida--b.png,896,560,5308572438ccd6f3405e25baf6e476eebbd1e784f014fd5f0212c67d7c157716,none,Pheretima habit,"prostomium, segment, parapodium, clitellum, seta, anus",generated-free,generated:gemini:batch5/bio11-ch4-phylum-annelida--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch4-phylum-arthropoda--b,bio11-ch4-phylum-arthropoda,b,5,bio,11,Animal Kingdom,Phylum Arthropoda,masters/bio11-ch4-phylum-arthropoda--b.png,896,560,2ebfab2511729f5586ef3d5e4d2ebfb18579b85cfbf74ea9b441ff400c977ed6,none,locust,"head, thorax, abdomen, antenna, compound eye, jointed appendage, wing, exoskeleton, sting",generated-free,generated:gemini:batch5/bio11-ch4-phylum-arthropoda--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch4-phylum-arthropoda--c,bio11-ch4-phylum-arthropoda,c,5,bio,11,Animal Kingdom,Phylum Arthropoda,masters/bio11-ch4-phylum-arthropoda--c.png,896,560,4219a693668a2e045b4892a167df5d62fab144a73981e075fbc71599b1d8c739,none,scorpion,"head, thorax, abdomen, antenna, compound eye, jointed appendage, wing, exoskeleton, sting",generated-free,generated:gemini:batch5/bio11-ch4-phylum-arthropoda--c,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch4-phylum-arthropoda--e,bio11-ch4-phylum-arthropoda,e,5,bio,11,Animal Kingdom,Phylum Arthropoda,masters/bio11-ch4-phylum-arthropoda--e.png,896,560,fa2234b6cc412e642c856ceab519bc35ce8104aaa67789f4cb38a7c2cac3e5c3,none,Bombyx,"head, thorax, abdomen, antenna, compound eye, jointed appendage, wing, exoskeleton, sting",generated-free,generated:gemini:batch5/bio11-ch4-phylum-arthropoda--e,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch4-phylum-arthropoda--f,bio11-ch4-phylum-arthropoda,f,5,bio,11,Animal Kingdom,Phylum Arthropoda,masters/bio11-ch4-phylum-arthropoda--f.png,896,560,e0c638b5e2d41e5cda6252481adb66fa08853c8629f2f0e105bfd2c48c4c5c60,none,Laccifer,"head, thorax, abdomen, antenna, compound eye, jointed appendage, wing, exoskeleton, sting",generated-free,generated:gemini:batch5/bio11-ch4-phylum-arthropoda--f,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch4-phylum-mollusca--a,bio11-ch4-phylum-mollusca,a,5,bio,11,Animal Kingdom,Phylum Mollusca,masters/bio11-ch4-phylum-mollusca--a.png,896,560,e90b854e6e1d8180e3d13ff9e4e7563582a48e415449b0e59e40625d46afcb1c,none,Pila,"shell, mantle, foot, tentacle, visceral hump, head, radula, siphon",generated-free,generated:gemini:batch5/bio11-ch4-phylum-mollusca--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch4-phylum-mollusca--c,bio11-ch4-phylum-mollusca,c,5,bio,11,Animal Kingdom,Phylum Mollusca,masters/bio11-ch4-phylum-mollusca--c.png,896,560,1a405324c7d4917a5881e5eaf512a146998a1a3cacac393ada641ac9ce65571e,none,Pinctada,"shell, mantle, foot, tentacle, visceral hump, head, radula, siphon",generated-free,generated:gemini:batch5/bio11-ch4-phylum-mollusca--c,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch4-phylum-echinodermata-and-hemichordata--a,bio11-ch4-phylum-echinodermata-and-hemichordata,a,5,bio,11,Animal Kingdom,Phylum Echinodermata and Hemichordata,masters/bio11-ch4-phylum-echinodermata-and-hemichordata--a.png,896,560,c79f58f3c15dbfe2113ed9ce7ee70b716cd99a6984fba4882b2a59daa3ed9d61,none,Asterias,"arm, central disc, tube feet, madreporite, ambulacral groove, proboscis, collar, trunk",generated-free,generated:gemini:batch5/bio11-ch4-phylum-echinodermata-and-hemichordata--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch4-phylum-echinodermata-and-hemichordata--b,bio11-ch4-phylum-echinodermata-and-hemichordata,b,5,bio,11,Animal Kingdom,Phylum Echinodermata and Hemichordata,masters/bio11-ch4-phylum-echinodermata-and-hemichordata--b.png,896,560,52c85f79364510f9e27893c5e640e80e3fec5d2fa8abb30a8246dffac53a8003,none,Balanoglossus,"arm, central disc, tube feet, madreporite, ambulacral groove, proboscis, collar, trunk",generated-free,generated:gemini:batch5/bio11-ch4-phylum-echinodermata-and-hemichordata--b,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch4-class-cyclostomata--chondrichthyes-and-osteichthyes--a,bio11-ch4-class-cyclostomata--chondrichthyes-and-osteichthyes,a,5,bio,11,Animal Kingdom,"Class Cyclostomata, Chondrichthyes and Osteichthyes",masters/bio11-ch4-class-cyclostomata--chondrichthyes-and-osteichthyes--a.png,896,560,5ddae7ea918ccfa16eb73d00a085da867f7eccd286fbb39b117541923513a22c,none,Petromyzon,"circular sucking mouth, gill slit, placoid scale, ventral mouth, heterocercal tail, pectoral fin, operculum, homocercal tail, cycloid scale",generated-free,generated:gemini:batch5/bio11-ch4-class-cyclostomata--chondrichthyes-and-osteichthyes--a,"MonkLearning (AI-generated, Gemini)",accepted
bio11-ch4-class-cyclostomata--chondrichthyes-and-osteichthyes--b,bio11-ch4-class-cyclostomata--chondrichthyes-and-osteichthyes,b,5,bio,11,Animal Kingdom,"Class Cyclostomata, Chondrichthyes and Osteichthyes",masters/bio11-ch4-class-cyclostomata--chondrichthyes-and-osteichthyes--b.png,896,560,9c1b7cca51c0f53850f86e7f568c70ea86a68e887b058cfec5d309d7ffeb9aba,none,Scoliodon; DO NOT strip (grey inset),"circular sucking mouth, gill slit, placoid scale, ventral mouth, heterocercal tail, pectoral fin, operculum, homocercal tail, cycloid scale",generated-free,generated:gemini:batch5/bio11-ch4-class-cyclostomata--chondrichthyes-and-osteichthyes--b,"MonkLearning (AI-generated, Gemini)",accepted
